run_id,config_id,protein,split,method,seed,backend,n_energy_evaluations,elapsed_s,method_step,objective_eval,restart,best_energy,best_bitstring,cvar,ca_rmsd_angstrom,ca_rmsd_ensemble_min
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,102,10.189069747924805,,13,0,-551.1790707357578,111111111000000001011000000010110111,-540.6871948954824,9.544600813052563,9.445626458388075
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,200,17.968863010406494,,26,0,-552.1999663160684,111100111111001110011100000000010111,-536.9292173315981,8.416063689125789,8.339663654737043
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,303,26.332246780395508,,40,0,-560.3780017186137,011111011111110011101110101111010111,-530.6855199363903,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,403,34.081899881362915,,53,0,-560.3780017186137,011111011111110011101110101111010111,-552.4115503144703,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,504,42.73393797874451,,67,0,-560.3780017186137,011111011111110011101110101111010111,-544.1029554478639,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,605,51.16631293296814,,81,0,-560.3780017186137,011111011111110011101110101111010111,-542.2056065628199,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,701,59.06385374069214,,94,0,-560.3780017186137,011111011111110011101110101111010111,-546.140343328864,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,802,67.52616882324219,,108,0,-560.3780017186137,011111011111110011101110101111010111,-547.1913774312926,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,902,76.15944766998291,,122,0,-560.3780017186137,011111011111110011101110101111010111,-543.7818415804861,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1005,84.80880880355835,,136,0,-560.3780017186137,011111011111110011101110101111010111,-539.072969537438,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1103,92.62379598617554,,149,0,-560.3780017186137,011111011111110011101110101111010111,-539.896206608926,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1200,100.4629418849945,,162,0,-560.3780017186137,011111011111110011101110101111010111,-544.5098995800793,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1306,109.01195192337036,,176,0,-560.3780017186137,011111011111110011101110101111010111,-546.105017529529,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1400,116.59273481369019,,189,0,-560.3780017186137,011111011111110011101110101111010111,-541.9576857481821,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1503,125.34361600875854,,204,0,-560.3780017186137,011111011111110011101110101111010111,-544.9136684122625,5.3554062617003515,5.252909897118403
eefbb4ace5744123,d0cd1712c1bc,1LE3,test,vqe,100,direct,1520,126.80740785598755,,207,0,-560.3780017186137,011111011111110011101110101111010111,-542.4217036314989,5.3554062617003515,5.252909897118403
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,100,10.536679983139038,,13,0,-550.8133927256089,110111110101101100110010110111000100,-545.9837439041012,9.326889854784483,9.210349472142067
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,202,18.47280526161194,,26,0,-550.8133927256089,110111110101101100110010110111000100,-520.4569839636763,9.326889854784483,9.210349472142067
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,300,26.404460191726685,,39,0,-550.8133927256089,110111110101101100110010110111000100,-531.9029481169532,9.326889854784483,9.210349472142067
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,402,35.072350025177,,53,0,-550.8133927256089,110111110101101100110010110111000100,-517.5139846024642,9.326889854784483,9.210349472142067
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,503,43.56529903411865,,67,0,-556.8315514818946,111111111000000000001010110101111100,-542.1654845540036,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,606,51.87039804458618,,81,0,-556.8315514818946,111111111000000000001010110101111100,-546.9178995531461,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,700,59.794086933135986,,94,0,-556.8315514818946,111111111000000000001010110101111100,-538.7112686373268,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,805,68.16654324531555,,108,0,-556.8315514818946,111111111000000000001010110101111100,-540.1066046958067,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,906,76.4508261680603,,122,0,-556.8315514818946,111111111000000000001010110101111100,-540.16418934148,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1005,84.60394716262817,,136,0,-556.8315514818946,111111111000000000001010110101111100,-542.3665945102907,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1101,92.27341222763062,,149,0,-556.8315514818946,111111111000000000001010110101111100,-544.3219640784596,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1206,100.596027135849,,163,0,-556.8315514818946,111111111000000000001010110101111100,-543.7082784733582,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1302,108.33988118171692,,176,0,-556.8315514818946,111111111000000000001010110101111100,-537.969611339066,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1401,116.29048919677734,,189,0,-556.8315514818946,111111111000000000001010110101111100,-543.0703376164427,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1507,124.60526323318481,,203,0,-556.8315514818946,111111111000000000001010110101111100,-550.354657681775,6.680660945001067,6.6448675163197155
52f860ede7f0d12d,d0cd1712c1bc,1LE3,test,vqe,101,direct,1520,125.76027226448059,,205,0,-556.8315514818946,111111111000000000001010110101111100,-532.2540115263005,6.680660945001067,6.6448675163197155
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,101,10.263448715209961,,13,0,-557.6089560754303,011011111111110000101010101010101101,-547.6933471228017,8.548860825265114,8.515578028986189
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,207,18.619218826293945,,27,0,-559.1067928316714,011000000000000001011011100010101101,-549.5781614772461,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,304,26.328096866607666,,40,0,-559.1067928316714,011000000000000001011011100010101101,-549.5990137657459,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,407,34.129286766052246,,53,0,-559.1067928316714,011000000000000001011011100010101101,-540.7558968612611,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,503,41.81520485877991,,66,0,-559.1067928316714,011000000000000001011011100010101101,-503.09734754681506,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,602,49.91963791847229,,80,0,-559.1067928316714,011000000000000001011011100010101101,-539.3384454472792,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,706,58.18724775314331,,94,0,-559.1067928316714,011000000000000001011011100010101101,-544.4863057801655,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,804,66.00803089141846,,107,0,-559.1067928316714,011000000000000001011011100010101101,-542.307941741456,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,903,74.02659296989441,,121,0,-559.1067928316714,011000000000000001011011100010101101,-546.0966321730275,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1003,81.70735478401184,,134,0,-559.1067928316714,011000000000000001011011100010101101,-533.192675045693,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1102,89.84470081329346,,148,0,-559.1067928316714,011000000000000001011011100010101101,-545.3377164957403,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1202,98.06502294540405,,162,0,-559.1067928316714,011000000000000001011011100010101101,-534.6686732305432,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1304,106.35553097724915,,176,0,-559.1067928316714,011000000000000001011011100010101101,-548.1763225972372,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1404,114.93315577507019,,190,0,-559.1067928316714,011000000000000001011011100010101101,-548.6272210052082,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1506,123.0965518951416,,205,0,-559.1067928316714,011000000000000001011011100010101101,-548.3714009724281,7.229416296222026,7.077163231002494
64d916526d17495c,d0cd1712c1bc,1LE3,test,vqe,102,direct,1520,124.26536703109741,,207,0,-559.1067928316714,011000000000000001011011100010101101,-550.6592813627693,7.229416296222026,7.077163231002494
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,100,28.437339067459106,133,,0,-555.018794527382,110010110101101111100101100010010100,,7.667482642956129,7.591727988399124
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,200,56.62848091125488,282,,0,-555.018794527382,110010110101101111100101100010010100,,7.667482642956129,7.591727988399124
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,300,85.02181077003479,441,,0,-555.018794527382,110010110101101111100101100010010100,,7.667482642956129,7.591727988399124
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,400,113.31035780906677,599,,0,-560.8215478933838,011101111111110001100010111000100001,,9.575984539709273,9.529664914291597
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,500,141.06007385253906,747,,0,-563.431981420395,111110111111110011111101100010010111,,8.685202012468288,8.645927375464106
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,600,168.30550503730774,918,,0,-563.5285850090845,011011111111110011111101011110000110,,10.206139564564571,10.154129522701606
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,700,195.3200659751892,1113,,0,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,800,222.24601697921753,1383,,0,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,900,249.7339208126068,1523,,1,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,1000,277.2355360984802,1673,,1,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,1100,303.8255069255829,1827,,1,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,1200,331.28759598731995,1985,,1,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,1300,358.9683270454407,2133,,1,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
6d99dc749fb19199,d0cd1712c1bc,1LE3,test,sa,100,classical,1400,385.97712206840515,2266,,1,-566.5293723454455,110000111111110011111010101111010110,,10.246524426868707,10.227927945502238
