run_id,config_id,protein,split,method,seed,backend,n_energy_evaluations,elapsed_s,method_step,objective_eval,restart,best_energy,best_bitstring,cvar,ca_rmsd_angstrom,ca_rmsd_ensemble_min
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,104,4.186929941177368,,14,0,-357.76447749624487,0101001111111001111001,-352.9826036578996,4.599428781006224,3.906768288498944
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,203,6.804037809371948,,29,0,-357.76447749624487,0101001111111001111001,-353.2173505962577,4.599428781006224,3.906768288498944
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,304,9.337162017822266,,43,0,-358.2682036469086,1110100111001111111010,-354.09884176191514,5.307013819680592,4.8041360757438385
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,403,11.980311155319214,,58,0,-358.2682036469086,1110100111001111111010,-356.6202732452596,5.307013819680592,4.8041360757438385
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,503,14.590851783752441,,74,0,-358.2682036469086,1110100111001111111010,-351.9510627953914,5.307013819680592,4.8041360757438385
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,600,17.254209995269775,,90,0,-359.2449447768484,0111010111010010110101,-356.64240181878847,4.673125187910097,4.090769357179924
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,706,20.016403913497925,,107,0,-359.2449447768484,0111010111010010110101,-352.8857975366236,4.673125187910097,4.090769357179924
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,804,22.510883808135986,,123,0,-359.7318221927354,0111010111111101110101,-350.57151695402206,4.777599504682559,4.1268349158172954
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,900,25.087948083877563,,139,0,-359.7318221927354,0111010111111101110101,-349.31438808475104,4.777599504682559,4.1268349158172954
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1002,27.86716389656067,,156,0,-360.57941211445984,0100100111111001111101,-353.9899488039614,3.9516043302288675,3.4038982114953193
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1104,30.72123694419861,,173,0,-360.57941211445984,0100100111111001111101,-347.33132966758774,3.9516043302288675,3.4038982114953193
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1201,33.24245619773865,,188,0,-360.57941211445984,0100100111111001111101,-351.5223160671631,3.9516043302288675,3.4038982114953193
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1303,36.11424493789673,,206,0,-360.57941211445984,0100100111111001111101,-352.29706062148193,3.9516043302288675,3.4038982114953193
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1405,38.85525989532471,,222,0,-360.57941211445984,0100100111111001111101,-354.0608459608975,3.9516043302288675,3.4038982114953193
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1504,41.70611310005188,,239,0,-360.57941211445984,0100100111111001111101,-350.9047516672599,3.9516043302288675,3.4038982114953193
dbe488565b2de486,f6295ae35f7c,1UAO,development,vqe,0,direct,1520,42.22984600067139,,243,0,-360.57941211445984,0100100111111001111101,-352.10433465775805,3.9516043302288675,3.4038982114953193
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,107,4.751605987548828,,15,0,-359.4369077623101,0100101011111101110100,-349.2653671507112,5.491623117856315,4.843722773888398
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,205,7.304672002792358,,30,0,-360.2466029412547,1100101011101110111011,-350.34278176039766,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,302,9.832327842712402,,44,0,-360.2466029412547,1100101011101110111011,-349.14922285646185,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,406,12.487197875976562,,59,0,-360.2466029412547,1100101011101110111011,-349.2427979222663,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,501,14.919075012207031,,73,0,-360.2466029412547,1100101011101110111011,-353.52921119909104,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,601,17.616338968276978,,89,0,-360.2466029412547,1100101011101110111011,-353.1614630415812,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,705,20.28826904296875,,105,0,-360.2466029412547,1100101011101110111011,-351.86131799375715,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,801,22.7632098197937,,119,0,-360.2466029412547,1100101011101110111011,-347.85422768546255,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,901,25.584690809249878,,136,0,-360.2466029412547,1100101011101110111011,-353.78929657856344,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,1002,28.37133288383484,,154,0,-360.2466029412547,1100101011101110111011,-353.1193112233663,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,1100,31.002506971359253,,169,0,-360.2466029412547,1100101011101110111011,-350.87059248565424,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,1200,33.900471925735474,,187,0,-360.2466029412547,1100101011101110111011,-355.73235192894595,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,1303,36.835463762283325,,209,0,-360.2466029412547,1100101011101110111011,-354.9682512306124,5.015144775433381,4.511679017344889
cd51804d4cdfcc3d,f6295ae35f7c,1UAO,development,vqe,1,direct,1402,39.95655179023743,,232,0,-361.1445712430227,1110010111100010110011,-356.5540738802688,3.7887471946454245,3.3311627372384662
